NAME,AIaaS Stack Level,Category,Industry,Sub-Category,Description,URL,Source(s),,,,,,
Verint,AutoML,AutoML Platform,Marketing/Customer Experience,Conversational AI,"Verint is a global leader in Customer Engagement. Customer Experience 
experts in Automation, AI, and Cloud.",verint.com,CAI,,,,,,
Vocinity,AutoML,AutoML Platform,Marketing/Customer Experience,Conversational AI,"We help enterprises and third-party providers to develop, deploy and 
maintain white-label conversational AI-based video and voice solutions.",vocinity.com,CAI,,,,,,
ExecVision,AutoML,AutoML Platform,Marketing/Customer Experience,Conversational AI,"ExecVision is the only conversation intelligence platform designed to 
deliver measurable results through human behavior change. Learn how it can 
help your organization.",execvision.io,CAI,,,,,,
Yellow Messenger,AutoML,AutoML Platform,Marketing/Customer Experience,Conversational AI,"Automate interactions with your customers & employees in 135+ languages & 
across 35+ channels to deliver actionable outcomes at lower costs.",yellowmessenger.com,Firstmark,,,,,,
Conversica,AutoML,AutoML Platform,Marketing/Customer Experience,Conversational AI,"Revenue Digital Assistants & Conversational AI Platform
Self-learning AI solution that empowers natural, human-like communication",http://www.conversica.com,"FirstMark, CAI",,,,,,
Twilio,AutoML,AutoML Platform,Marketing/Customer Experience,Conversational AI,"Connect with customers on their preferred channels—anywhere in the world. 
Quickly integrate powerful communication APIs to start building solutions 
for SMS and WhatsApp messaging, voice, video, and email.",https://www.twilio.com/,"FirstMark, CAI",,,,,,
Artificial Solutions,AutoML,AutoML Platform,Marketing/Customer Experience,Conversational AI,"With our Conversational AI Platform for Enterprise - Teneo, engage your 
customers over any channel, device or service, in any language.",artificial-solutions.com,CAI,,,,,,
Boost.ai,AutoML,AutoML Platform,Marketing/Customer Experience,Conversational AI,"Boost your self-service rates and reach new heights of customer 
satisfaction using our end-to-end conversational AI platform!",boost.ai,CAI,,,,,,
Genesys,AutoML,AutoML Platform,Marketing/Customer Experience,Conversational AI,"Genesys is a leader for omnichannel customer experience & contact center 
solutions, trusted by 10,000+ companies in over 100 countries.",genesys.com,CAI,,,,,,
Dasha,AutoML,AutoML Platform,Marketing/Customer Experience,Conversational AI,"Dasha is a conversational-AI-as-a-service platform that lets you embed 
realistic voice and text conversational capabilities into your apps or 
products. With a single integration, create smart conversational apps for 
web, desktop, mobile and call centers.",dasha.ai,CAI,,,,,,
Aisera,AutoML,AutoML Platform,Marketing/Customer Experience,Conversational AI,"Aisera's AI Service Experience (AISX) Platform helps enterprises to 
automate IT tasks & workflows to deliver exceptional service experiences.",aisera.com,CAI,,,,,,
Collect.chat,AutoML,AutoML Platform,Marketing/Customer Experience,Conversational AI (No Code),"Collect.chat is a simple & beautiful chatbot for your website. It helps you create website chatbots with no code and for FREE.The best chatbot tool for sales, marketing and support. Trusted by over 25,000 customers across the globe. Make your chatbot today to collect more leads, sales and increase conversion. Using simple drag and drop chatbot builder and integrating will take only minutes.",collect.chat,CAI,,,,,,
Landbot,AutoML,AutoML Platform,Marketing/Customer Experience,Conversational AI (No Code),"Create conversational chatbots, conversational landing pages & websites, 
interactive surveys, lead generation bots & more. Intuitively. Without code.",landbot.io,CAI,,,,,,
ChatFuel,AutoML,AutoML Platform,Marketing/Customer Experience,Conversational AI (No Code),"Chatfuel is the leading no-code chatbot platform trusted by 7m+ businesses. 
Acquire new customers, increase sales, and automate support",chatfuel.com,CAI,,,,,,
DigitialGenius,AutoML,AutoML Platform,Marketing/Customer Experience,Conversational AI (No Code),"DigitalGenius is a no-code platform for eCommerce that combines AI 
integrations and workflows to make customers, team and inbox happy across 
all channels, including email and chat. Try it out Book a Demo.",http://digitalgenius.com/,FirstMark,,,,,,
SYNTASA,AutoML,AutoML Platform,Marketing/Customer Experience,Customer Experience,"Syntasa is a self-service web application that enables digital teams to connect first-party behavioral and enterprise data, build and deploy your customized models, run in a private cloud, and activate across channels.",http://syntasa.com/,FirstMark,,,,,,
Semantic Machines,AutoML,AutoML Platform,Marketing/Customer Experience,Conversational AI,"Our approach to conversational AI orchestrates user input, conversational 
and on-screen context, and real-world APIs into a single machine-learned 
conversational system.",http://www.semanticmachines.com/,FirstMark,,,,,,
Rasa,AutoML,AutoML Platform,Marketing/Customer Experience,Conversational AI,"Rasa provides flexible conversational AI software for building text and 
voice-based assistants. Used by developers, conversational teams, and 
enterprises worldwide. Learn more.",http://www.rasa.com,"FirstMark, CAI",,,,,,
Avaamo,AutoML,AutoML Platform,Marketing/Customer Experience,Conversational AI (Customer Experience),Avaamo is a cloud platform that lets you automate the Conversational AI lifecycle. Build powerful domain-based models on your own or use our existing vertical models.,avaamo.ai,CAI,,,,,,
Sprig,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Keep track of feedback from users of their products in a centralized way. Sprig's software can latch onto its customers' user interfaces to prompt users to provide fast-hit feedback. From there, it analyzes the feedback through its software, bypassing the need for a spreadsheet and manual research modeling.",,FORBES50,,,,,,
Staircase,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,Uncover your blind spots from customer communications,https://staircase.ai/,BWGAI,,,,,,
Anecdote,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Our AI engine reads support tickets, chats, social media, phone calls, NPS surveys, app store reviews to produce company specific stories.",https://www.anec.app/,BWGAI,,,,,,
Chartbeat,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Improve audience engagement, inform editorial decisions, and increase 
readership. Chartbeat delivers real-time analytics, content intelligence, 
and transformative newsroom tools for digital media and publishing 
companies around the world.",https://chartbeat.com/,FirstMark,,,,,,
Out of the Blue,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Analytics-as-a-Service that autonomously provides Customer Intelligence to 
maximize success for eCommerce and Retail operations.",https://outoftheblue.ai/,FirstMark,,,,,,
Sisense,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Infuse analytics into your workstreams or products. Build custom 
self-service experiences to bring AI-driven insights to you and your 
customers. Learn how.",http://www.sisense.com/,FirstMark,,,,,,
Bime Analytics,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Fine-tune CX operations, improve agent and rep productivity, & gain 
customer insights with our customer service and sales reporting and 
analytics software. Start a free trial",https://www.bimeanalytics.com/,FirstMark,,,,,,
RetailNext,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Why invest in point solutions when you can invest in the only future-proof 
system that scales with you? Traffic, Shopper Journey, Visual 
Merchandising, Asset Protection, and more, in a single fully-integrated 
platform.",http://retailnext.net/,FirstMark,,,,,,
HowGood,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"The world's largest product sustainability database at your fingertips. 
Instantly analyze the environmental and social impact of your products and 
ingredients with a comprehensive, user-friendly SaaS platform. Latis 
empowers cross-functional decision making, goal tracking, and marketing 
communications with data-backed sustainability insights on over 33,000 
ingredients.",https://howgood.com/,FirstMark,,,,,,
Heuritech,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Heuritech, trend forecasting solution helps brands to anticipate customers’ 
expectations. Stay a step ahead of the fashion and luxury industries!",https://www.heuritech.com/,FirstMark,,,,,,
ViSenze,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"ViSenze, the world's smartest product discovery platform, allows retailers 
to increase revenue, save time and improve product performance.",https://www.visenze.com/,FirstMark,,,,,,
Onfido,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Drive new customer acquisition, detect fraud, and satisfy KYC and AML 
compliance using identity verification that’s simple for everyone.",http://www.onfido.com,FirstMark,,,,,,
Clarabridge,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"The ultimate platform for collecting, understanding, and taking action on all forms of experience data",http://www.clarabridge.com/,FirstMark,,,,,,
Amplitude,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Build better products by turning your user data into meaningful insights, 
using Amplitude's digital analytics platform and experimentation tools.",https://amplitude.com/,FirstMark,,,,,,
Frame.ai,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"With Dynamic Cost Attribution™️, automatically measure the cost of every 
customer interaction so you can find opportunities to improve and reduce 
service cost.",https://frame.ai,FirstMark,,,,,,
Heap,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Heap is the only digital insights platform that gives you complete understanding of your customers’ digital journeys, so you can quickly improve conversion, retention, and customer delight.",https://heap.io/,FirstMark,,,,,,
BryterCX,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"BryterCX provides detailed insights into customer experience (CX), creating 
opportunities to reduce costs & improve customer satisfaction.",https://www.brytercx.com/,FirstMark,,,,,,
CallMiner,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Unlock the value of your contact center and improve customer experience 
with the industry's most powerful conversation intelligence platform.",http://www.callminer.com,FirstMark,,,,,,
Gainsight,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Gainsight's Customer Success and Product Experience Software empowers 
companies to increase revenue, decrease customer churn, and drive advocacy.",http://www.gainsight.com/,FirstMark,,,,,,
Medallia,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Medallia's software platform provides keen insights to improve customer 
experience, contact center experience, employee experience and digital 
experience.",http://www.medallia.com/,FirstMark,,,,,,
NGData,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Discover how businesses are benefiting from NGDATA’s Intelligent Engagement 
Platform, with capabilities beyond a standard Customer Data Platform (CDP).",http://www.ngdata.com/,FirstMark,,,,,,
Pendo,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Pendo’s product experience and digital adoption solutions help companies 
become product led and deliver digital experiences users love.",http://www.pendo.io,FirstMark,,,,,,
Qualtrics,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Ask the right questions, listen to what people need, and respond with the 
right actions, every time with the world's leading Experience Management 
software.",http://www.qualtrics.com/,FirstMark,,,,,,
TechSee,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"TechSee's intelligent remote visual support for contact centers and field 
service helps you improve customer service while reducing support costs.",http://www.techsee.me,FirstMark,,,,,,
Echoes,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,Voice of the customer led growth,https://echoes.io/,FirstMark,,,,,,
Freshdesk,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,Online cloud-based customer service software providing helpdesk support with all smart automations to get things done faster.,https://freshdesk.com/,FirstMark,,,,,,
MoEngage,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Execute your omnichannel marketing strategy with MoEngage’s insights-led 
customer engagement platform. Leverage the power of personalization with 
MoEngage.",https://www.moengage.com/,FirstMark,,,,,,
SurveyMonkey,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Use SurveyMonkey to drive your business forward by using our free online 
survey tool to capture the voices and opinions of the people who matter 
most to you.",https://www.surveymonkey.com/,FirstMark,,,,,,
UserTesting,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Whether you're focused on UI, UX Research, Design, or CX, with the 
UserTesting Platform you can get customer feedback to improve digital 
experiences and drive innovation",https://www.usertesting.com/,FirstMark,,,,,,
symbl.ai,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,Unlock user intents and critical business insights from unstructured conversation data in real-time with cutting edge AI.,https://symbl.ai/,BWGAI,,,,,,
Scuba,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Scuba Analytics is the customer intelligence platform built for time-series 
data.",https://www.scuba.io/,FirstMark,,,,,,
K2 View,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"K2View provides an operational data fabric, delivering a trusted, holistic, 
and real-time view of customer and business data, to applications and 
analytics",https://www.k2view.com/,FirstMark,,,,,,
MapAnything,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Integrate and leverage location-based data and prioritization in your CRM, 
using Salesforce maps, to optimize your reps' activities.",http://mapanything.com,FirstMark,,,,,,
PlaceIQ,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"PlaceIQ is a leading data and technology provider that powers critical 
business and marketing decisions with location data, analytics and insights.",http://placeiq.com/,FirstMark,,,,,,
Esri,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Esri’s GIS mapping software is the most powerful mapping & spatial 
analytics technology available. Learn how businesses are using location 
intelligence to gain a competitive advantage.",http://www.esri.com/,FirstMark,,,,,,
Loqate,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Improve data quality by capturing correct UK addresses. Boost conversions 
and user experience with postcode address verification and geocoding 
technology.",http://www.loqate.com/,FirstMark,,,,,,
Sense360,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,Consumer insights at unparalleled speed + scale,http://www.sense360.com/,FirstMark,,,,,,
Carto,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Cloud-native location intelligence & GIS software for analysts, data 
scientists & developers solving geospatial problems with modern analytics 
stacks.",https://carto.com/,FirstMark,,,,,,
Radar.io,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,The leading geofencing platform,https://radar.io/,FirstMark,,,,,,
Datlas,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"At Datlas we offer analytics as a service through platforms that
transform data into decisions in an agile and simple way. This
through methods that leverage big data and intelligence techniques
artificial.""",https://www.datlas.mx/,FirstMark,,,,,,
ContentSquare,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"The global leader in digital experience intelligence and analytics, 
Contentsquare helps optimize and improve your users digital experience.",http://www.contentsquare.com,FirstMark,,,,,,
Invoca,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Our conversation intelligence platform enables you to automatically act on 
conversation data to drive better experiences, more conversions, and higher 
revenue.",http://www.invoca.com,FirstMark,,,,,,
Posthog,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"PostHog is the all-in-one platform for building better products - with 
product analytics, feature flags, session recordings, a/b testing, 
heatmaps, and more.",https://posthog.com/,FirstMark,,,,,,
Tealium,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Tealium is a customer data platform (CDP) that connects your data so you 
can connect with your customers!",https://tealium.com/,FirstMark,,,,,,
automotiveMastermind,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"automotiveMastermind’s Mastermind sales platform revolutionizes the way 
dealerships find, engage, & win customers by leveraging behavioral data 
analytics.",https://www.automotivemastermind.com/#/home,FirstMark,,,,,,
Braze,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Power customer-centric interactions between consumers and brands in 
real-time",https://www.braze.com/,FirstMark,,,,,,
Gigya,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Explore customer data management solutions from SAP, including customer 
data platform (CDP) and data solutions for revenue growth and risk 
protection.",https://www.gigya.com/,FirstMark,,,,,,
Google Analytics,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Google Analytics gives you the tools you need to better understand your 
customers. You can then use those business insights to take action, such as 
improving your website, creating tailored audience lists, and more.",https://www.google.com/analytics/,FirstMark,,,,,,
Lytics,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Lytics is the first secure and flexible composable customer data platform 
(CDP) built for enterprises' marketing and ad technology stacks.",https://www.lytics.com/,FirstMark,,,,,,
Zeotap,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Discover the next-generation Customer Data Platform, built for a 
privacy-first future",https://zeotap.com/,FirstMark,,,,,,
Supergrain,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Supergrain is the marketing automation platform purpose-built for 
product-led companies. Drive more revenue and engagement across the 
customer lifecycle.",http://supergrain.com,FirstMark,,,,,,
LiveRamp,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Our data enablement platform gives companies and their partners the power 
to connect, control, and activate data to transform customer experiences 
and generate more valuable business outcomes.",http://liveramp.com/,FirstMark,,,,,,
Acxiom,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Acxiom's data and technology transform marketing – giving our clients the 
power to manage audiences, personalize customer experiences and create 
profitable customer relationships.",http://www.acxiom.com/,FirstMark,,,,,,
Rudderstack,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"RudderStack is the easiest way to stream data from your website or 
warehouse. With RudderStack, you can easily collect customer data from 
every platform.",http://rudderstack.com,FirstMark,,,,,,
Aviso,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Aviso AI for sales: Win more deals with Revenue Intelligence & 
Conversational Intelligence with 98% accuracy. Request a custom demo now.",http://www.aviso.com/,FirstMark,,,,,,
Chorus.ai,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Make Every Interaction Count. Chorus' Conversation Intelligence AI brings 
the power of your story to every conversation.",http://www.chorus.ai,"FirstMark, CAI",,,,,,
Clearbit,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"The Clearbit Data Activation Platform helps B2B teams understand customers, 
identify prospects, & personalize interactions with real-time intelligence.",http://www.clearbit.com,FirstMark,,,,,,
Collective Intelligence,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"A platform built for modern selling. Collective[i] provides the most comprehensive solution on the market for companies seeking to optimize revenue using AI, connections, and collaboration.",http://www.collectivei.com/,FirstMark,,,,,,
Tact,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Tact is the only next generation customer engagement platform for life 
sciences that is human-friendly, omni-channel and AI-powered.",http://www.tactile.com,FirstMark,,,,,,
People.ai,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"People.ai automates manual data entry, increases sales productivity, and 
provides actionable intelligence across all your management tools.",https://people.ai/,FirstMark,,,,,,
Poggio Labs,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Poggio Labs powers intelligent relationships for customer-obsessed 
organizations.",https://poggiolabs.com/,FirstMark,,,,,,
Troops.ai,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Never miss a revenue signal with Troops. Easily update Salesforce, HubSpot, Zendesk, and Jira right from Slack and Microsoft Teams. Get started for free.",https://troops.ai/,FirstMark,,,,,,
Clari,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"From sales forecasting to pipeline management and revenue intelligence, 
Clari's Revenue Platform makes your entire revenue process more efficient 
and predictable.",https://www.clari.com/,FirstMark,,,,,,
Endgame,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Endgame lets you connect the dots between product signals and sales 
opportunities without waiting on data teams so you can close bigger deals 
faster.",https://www.endgame.io/,FirstMark,,,,,,
Correlated Labs,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Correlated's product led revenue platform uncovers PQLs and automates 
outreach in key moments in the customer journey. Reach out to the right 
accounts, at the right time, with the right message.",https://www.getcorrelated.com/,FirstMark,,,,,,
Orum,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Orum uses AI to accelerate the manual process of outbound calling letting 
your sales team focus on winning more deals.",https://www.orumhq.com/,FirstMark,,,,,,
Pocus,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Pocus helps PLG sales teams find, prioritize, understand, and action the 
best opportunities from their self-serve pipeline.",https://www.pocus.com/,FirstMark,,,,,,
Salesforce Einstein,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Learn how artificial intelligence can turn your customer data into business 
insights with powerful Salesforce Einstein ai software.",https://www.salesforce.com/products/einstein/overview/,FirstMark,,,,,,
Outplay,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,The ONLY Sales Engagement Platform that makes selling easy,https://outplayhq.com/,BWGAI,,,,,,
oliv.ai,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Oliv learns winning practices from recorded sales conversations, guides sellers to shine in every meeting and helps managers monitor sales process adoption.",https://www.oliv.ai/,"ScaleVP, BWGAI",,,,,,
Netbase,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"NetBase Quid delivers AI-powered consumer and market intelligence to enable 
business reinvention in a noisy and unpredictable world.",http://www.netbase.com/,FirstMark,,,,,,
Synthesio,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Make consumer-centric decisions at scale with Synthesio's AI-enabled 
consumer intelligence suite. Analyze billions of online conversations.",http://www.synthesio.com/,FirstMark,,,,,,
Tracx,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Everything you need to turn visitors into customers, and customers into 
super-fans — all in one platform. Try TRACX™ today.",http://www.tracx.com/,FirstMark,,,,,,
Aerosolve,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"In this dynamic pricing feature, we show hosts the probability of getting a 
booking (green for a higher chance, red for a lower chance), or predicted 
demand, and allow them to easily price their…",http://nerds.airbnb.com/aerosolve/,FirstMark,,,,,,
Explo,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,Customer-facing analytics for any platform,https://www.explo.co/,FirstMark,,,,,,
Viable,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"* Don't just organize your feedback, understand it.
- Get customer insights tailored to your C-suite, product, CX, or UX research teams, backed by your customer feedback data.",www.askviable.com,"ScaleVP, BWGAI",,,,,,
Enterpret,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"* Customer Feedback Intelligence for Product Teams
- All customer feedback categorized automatically combined with advanced analytics capabilities. Ensure no customer pain goes unnoticed.",www.enterpret.com,"ScaleVP, BWGAI",,,,,,
Granify,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Granify is an e-commerce conversion and revenue optimization technology 
powered by machine learning that regularly brings top retailers 3%-5% 
revenue lift.",http://www.granify.com/,FirstMark,,,,,,
Market Track,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Get unparalleled insights into modern consumer shifting behaviors as well 
as the attitudes, opinions, and promotions that influence them. Get your 
demo now!",https://markettrack.com/,FirstMark,,,,,,
Clavis Insight,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Edge by Ascential is the world's leading ecommerce provider, helping over 
600 brands and retailers to win in the ecommerce driven world.",https://www.clavisinsight.com/,FirstMark,,,,,,
Custora,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Turn messy customer data into business growth, powered-up teams, and happy 
customers.",https://www.custora.com/,FirstMark,,,,,,
Indicative,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Growth marketers, product managers, and data analysts use Indicative to 
optimize customer conversion, engagement, and retention.",https://www.indicative.com/,FirstMark,,,,,,
Salesforce,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Personalize every experience along the customer journey with the Customer 
360. Unify marketing, sales, service, commerce, and IT on the world's #1 
CRM.",salesforce.com,CAI,,,,,,
Dstillery,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Dstillery is the leading custom audience solutions company, empowering 
brands to maximize customer data and reach their target audiences.",http://dstillery.com/,FirstMark,,,,,,
Dynamic Yield,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience,"Dynamic Yield's platform helps enterprise brands quickly deliver and test 
personalized, optimized, and synchronized digital customer experiences.",http://www.dynamicyield.com,FirstMark,,,,,,
Opower,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer experience,Opower brings AI and behavioral science into the utility customer experience and influences customers to act on an enormous scale.,https://opower.com/,FirstMark,,,,,,
Feelingstream,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Customer Experience (Customer Service),"Gain valuable customer insights, automate manual tasks and increase 
customer service quality with Feelingstream´s conversational analytics 
solution.",feelingstream.com,CAI,,,,,,
GoSquared,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Large Scale Solutions (Marketing Content),"Grow your business with marketing automation, live chat, and real-time 
analytics.",https://www.gosquared.com/,FirstMark,,,,,,
Cuebiq,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Marketing Content,"Helping marketers better understand the offline impact of their 
cross-channel advertising by unlocking incrementality to increase their 
return on ad spend.",http://www.cuebiq.com,FirstMark,,,,,,
Quantcast,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Marketing Content,"The Quantcast Platform simplifies digital advertising by connecting brands 
to their audiences using real-time data from over 100M web & mobile 
destinations.",https://www.quantcast.com/,FirstMark,,,,,,
Taboola,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Marketing Content,"Taboola is the world's leading discovery & native advertising platform that 
helps people explore what's interesting and new in the moment of next.",https://www.taboola.com/,FirstMark,,,,,,
YieldMo,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Marketing Content,"Yieldmo is the smart exchange for programmatic advertising. We offer a 
better way to buy, sell, and serve digital ads.",https://yieldmo.com/,FirstMark,,,,,,
Salesforce Einstein Analytics,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Marketing Content,"Explore data, get instant answers, and collaborate with your team using CRM 
analytics.",https://www.salesforce.com/products/einstein-analytics/overview/,FirstMark,,,,,,
Trax,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Marketing Content,"Optimize shopper experiences, monitor and analyze insights, increase sales 
and simplify your retail business life with Trax retail management 
solutions.",http://www.traxretail.com,FirstMark,,,,,,
DataSift,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Marketing Content,"Discover how Meltwater helps PR and marketing teams monitor media coverage 
across both news and social media and enhance brand management.",http://datasift.com/,FirstMark,,,,,,
Outbrain,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Marketing Content,"We are a foundational component to media companies' tech stacks empowering them to compete with the walled gardens on audience acquisition, engagement, and retention. Our world-class advertising platform helps global to emerging brands connect with consumers on the open web through engaging ad formats that inspire action.",http://www.outbrain.com/,FirstMark,,,,,,
Alembic,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Marketing Content,"Elevate your marketing strategy with Alembic's comprehensive and 
near-real-time unified marketing impact analytics. Get a clear view of your 
media mix's impact on revenue with our AI-enabled insights.",https://getalembic.com/,FirstMark,,,,,,
Lattice Engines,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Marketing Content,Combine siloed customer and prospect data with 3rd party insights to power growth​,http://lattice-engines.com/,FirstMark,,,,,,
Tubular Labs,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Marketing Content,"Social video moves fast. Tubular provides a unified view of the interests 
and behaviors of social video audiences across social platforms.",https://tubularlabs.com/,FirstMark,,,,,,
Alyce,AutoML,Data Analytics for Business Decisions,Marketing/Customer Experience,Marketing Content,"The corporate gifting platform marketing and sales teams use to stand out. 
Outbound is easier with Alyce. Send physical and virtual gifts people love.",https://www.alyce.com/,FirstMark,,,,,,
